road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
1795594,Addressing Road,Unknown,Road,South Soldiers Settlement Road,South Soldiers Settlement Rd,,South Soldiers Settlement,Road,,,,,,South Soldiers Settlement Road,South Soldiers Settlement Rd,South Soldiers Settlement
3077558,Addressing Road,Unknown,Road,Hewson Lane,Hewson Lane,,Hewson,Lane,,,,,,Hewson Lane,Hewson Lane,Hewson
1785469,Addressing Road,Unknown,Road,Southdown Drive,Southdown Dr,,Southdown,Drive,,,,,,Southdown Drive,Southdown Dr,Southdown
1795484,Addressing Road,Unknown,Road,William Benton Street,William Benton St,,William Benton,Street,,,,,,William Benton Street,William Benton St,William Benton
1839461,Addressing Road,Unknown,Road,Monty's Lane,Monty's Lane,,Monty's,Lane,,,,,,Monty's Lane,Monty's Lane,Monty's
1841023,Addressing Road,Unknown,Road,Market Road,Market Rd,,Market,Road,,,,,,Market Road,Market Rd,Market
1837748,Addressing Road,Unknown,Road,Omarere Road,Omarere Rd,,Omarere,Road,,,,,,Omarere Road,Omarere Rd,Omarere
1838596,Addressing Road,Unknown,Road,Awhina Drive,Awhina Dr,,Awhina,Drive,,,,,,Awhina Drive,Awhina Dr,Awhina
1839421,Addressing Road,Unknown,Road,Redwood Lane,Redwood Lane,,Redwood,Lane,,,,,,Redwood Lane,Redwood Lane,Redwood
1839423,Addressing Road,Unknown,Road,Maple Lane,Maple Lane,,Maple,Lane,,,,,,Maple Lane,Maple Lane,Maple
1839424,Addressing Road,Unknown,Road,Olive Way,Olive Way,,Olive,Way,,,,,,Olive Way,Olive Way,Olive
1839446,Addressing Road,Unknown,Road,Kanuka Way,Kanuka Way,,Kanuka,Way,,,,,,Kanuka Way,Kanuka Way,Kanuka
1840053,Addressing Road,Unknown,Road,Eagle Place,Eagle Pl,,Eagle,Place,,,,,,Eagle Place,Eagle Pl,Eagle
1840796,Addressing Road,Unknown,Road,Colonel Place,Colonel Pl,,Colonel,Place,,,,,,Colonel Place,Colonel Pl,Colonel
1842358,Addressing Road,Unknown,Road,Spencer Lane,Spencer Lane,,Spencer,Lane,,,,,,Spencer Lane,Spencer Lane,Spencer
1844657,Addressing Road,Unknown,Road,Waka Lane,Waka Lane,,Waka,Lane,,,,,,Waka Lane,Waka Lane,Waka
1859666,Addressing Road,Unknown,Road,Garrity Lane,Garrity Lane,,Garrity,Lane,,,,,,Garrity Lane,Garrity Lane,Garrity
3010016,Addressing Road,Unknown,Road,State Highway 53,SH 53,,State Highway 53,,,,,,,State Highway 53,SH 53,State Highway 53
3018772,Addressing Road,Unknown,Road,Ludlam Street,Ludlam St,,Ludlam,Street,,,,,,Ludlam Street,Ludlam St,Ludlam
3026577,Addressing Road,Unknown,Road,Johns Way,Johns Way,,Johns,Way,,,,,,Johns Way,Johns Way,Johns
3030684,Addressing Road,Unknown,Road,Clifton Grove Road,Clifton Grove Rd,,Clifton Grove,Road,,,,,,Clifton Grove Road,Clifton Grove Rd,Clifton Grove
3060031,Addressing Road,Unknown,Road,Te Maire Road,Te Maire Rd,,Te Maire,Road,,,,,,Te Maire Road,Te Maire Rd,Te Maire
3037164,Addressing Road,Unknown,Road,Moroa Road,Moroa Rd,,Moroa,Road,,,,,,Moroa Road,Moroa Rd,Moroa
1793950,Addressing Road,Unknown,Road,Lyon Street,Lyon St,,Lyon,Street,,,,,,Lyon Street,Lyon St,Lyon
